CHAMBERNAME,DATE,PROBE_CONTACTS
V1_R_1,29/06/2017,[1:16]
V1_R_1,30/06/2017,[1:16]
V1_R_1,04/07/2017,[1:16]
V4_R_1,04/07/2017,[17:32]
V4_R_1,06/07/2017,[17:32]
V1_R_1,07/07/2017,[1:16]
V4_R_1,07/07/2017,[17:32]
V1_R_1,11/07/2017,[1:16]
V4_R_1,11/07/2017,[17:32]
V1_R_1,12/07/2017,[1:16]
V4_R_1,12/07/2017,[17:32]
V1_R_1,13/07/2017,[1:16]
V4_R_1,13/07/2017,[17:32]
V1_R_1,14/07/2017,[1:16]
V4_R_1,14/07/2017,[17:32]
V1_R_1,18/07/2017,[1:16]
V4_R_1,18/07/2017,[17:32]
V1_R_1,19/07/2017,[1:16]
V4_R_1,19/07/2017,[17:32]
V1_R_1,20/07/2017,[1:16]
V4_R_1,20/07/2017,[17:32]
V1_R_1,27/07/2017,[1:16]
V4_R_1,27/07/2017,[17:32]
V1_R_1,28/07/2017,[1:16]
V4_R_1,28/07/2017,[17:32]
V1_R_1,01/08/2017,[1:16]
V4_R_1,01/08/2017,[17:32]
V1_R_1,02/08/2017,[1:16]
V4_R_1,02/08/2017,[17:32]
V1_R_1,03/08/2017,[1:16]
V4_R_1,04/08/2017,[17:32]
V1_R_1,15/08/2017,[1:16]
V4_R_1,15/08/2017,[17:32]
V1_R_1,16/08/2017,[1:16]
V4_R_1,16/08/2017,[17:32]
V1_R_1,17/08/2017,[1:16]
V4_R_1,17/08/2017,[17:32]
V4_R_1,24/08/2017,[17:32]
V1_R_1,19/09/2017,[1:16]
V4_R_1,19/09/2017,[17:32]
V1_R_1,20/09/2017,[1:16]
V4_R_1,20/09/2017,[17:32]
V1_R_1,21/09/2017,[1:16]
V4_R_1,21/09/2017,[17:32]
V1_R_1,22/09/2017,[1:16]
V4_R_1,22/09/2017,[17:32]
V1_R_1,26/09/2017,[1:16]
V4_R_1,26/09/2017,[17:32]
V1_R_1,27/09/2017,[1:16]
V4_R_1,27/09/2017,[17:32]
V1_R_1,03/10/2017,[1:16]
V4_R_1,03/10/2017,[17:32]
V1_R_1,04/10/2017,[1:16]
V4_R_1,04/10/2017,[17:32]
V1_R_1,05/10/2017,[1:16]
V4_R_1,05/10/2017,[17:32]
V1_R_1,06/10/2017,[1:16]
V4_R_1,06/10/2017,[17:32]
V1_R_1,18/10/2017,[1:16]
V1_R_1,19/10/2017,[1:16]
