Date,Task,Weight
29/06/2017,gratc,8.95
30/06/2017,gratc,8.95
04/07/2017,gratc,8.93
06/07/2017,gratc,8.8
07/07/2017,gratc,8.84
11/07/2017,gratc,8.86
12/07/2017,gratc,9.02
13/07/2017,gratc,8.85
14/07/2017,gratc,8.8
18/07/2017,gratc,8.8
19/07/2017,gratc,8.76
20/07/2017,gratc,8.7
27/07/2017,gratc,8.7
28/07/2017,gratc,8.62
01/08/2017,gratc,8.6
02/08/2017,gratc,8.6
03/08/2017,gratc,8.64
04/08/2017,gratc,
15/08/2017,gratc,8.6
16/08/2017,gratc,8.55
17/08/2017,gratc,8.5
24/08/2017,gratc,8.5
19/09/2017,gratc,8.22
20/09/2017,gratc,8.24
21/09/2017,gratc,8.34
22/09/2017,gratc,8.24
26/09/2017,gratc,8.15
27/09/2017,gratc,8.12
03/10/2017,gratc,8.13
04/10/2017,gratc,8.11
05/10/2017,gratc,8.13
06/10/2017,gratc,8.09
18/10/2017,gratc,8
19/10/2017,gratc,7.97
